StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID4,Q1,Q2_NPS_GROUP,Q2,Q3,QID68_First Click,QID68_Last Click,QID68_Page Submit,QID68_Click Count,QID69_First Click,QID69_Last Click,QID69_Page Submit,QID69_Click Count,Q4_NPS_GROUP,Q4,Q5,Q6,Q7_NPS_GROUP,Q7,Q8,Q9,Q10,Q84,Q11,Q86,Q13_1,Q14,Q15,Group1,Group2
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"By clicking “I agree” (or by proceeding to the next page), you indicate that:",Have you ever taken a university‑level course in any of the following? (Select all that apply),"Before today, how much did you know about how antibiotics work and why they sometimes stop working? - Group","Before today, how much did you know about how antibiotics work and why they sometimes stop working?",What do you think is the main reason antibiotics sometimes stop working?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,How confident are you that you understood the explanation you just read? - Group,How confident are you that you understood the explanation you just read?,"What does ""antibiotic resistance"" mean?",How can bacteria become resistant? (Select ALL that apply),How confident are you regarding your responses to the previous questions? - Group,How confident are you regarding your responses to the previous questions?,"Consider the following sequence of numbers:

3, 9, 27, 81, __, 729

What number should be in the ___ in this sequence?","If all Bloops are Razzies, and all Razzies are Lazzies, then which of the following must be true?",Why might the pesticide have stopped working as well over time?,True or False: The pesticide caused new genetic changes in the insects that made them resistant.,What would you recommend the farmer do to manage this problem? (Select ALL that apply),"What does ""antibiotic resistance"" mean?","Of the 4 questions related to antibiotics and resistance, how many do you think you answered correctly? - 1 star means 1 point",How much effort did you put into answering the questions in this study?,Are you a Master student at BSE or Phd student of UPF?,Group1,Group2
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6""}","{""ImportId"":""QID59_NPS_GROUP""}","{""ImportId"":""QID59""}","{""ImportId"":""QID11""}","{""ImportId"":""QID68_FIRST_CLICK""}","{""ImportId"":""QID68_LAST_CLICK""}","{""ImportId"":""QID68_PAGE_SUBMIT""}","{""ImportId"":""QID68_CLICK_COUNT""}","{""ImportId"":""QID69_FIRST_CLICK""}","{""ImportId"":""QID69_LAST_CLICK""}","{""ImportId"":""QID69_PAGE_SUBMIT""}","{""ImportId"":""QID69_CLICK_COUNT""}","{""ImportId"":""QID50_NPS_GROUP""}","{""ImportId"":""QID50""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID51_NPS_GROUP""}","{""ImportId"":""QID51""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID53""}","{""ImportId"":""QID84""}","{""ImportId"":""QID54""}","{""ImportId"":""QID86""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""Group1""}","{""ImportId"":""Group2""}"
2026-03-02 20:08:47,2026-03-02 20:11:34,Survey Preview,100,166,True,2026-03-02 20:11:34,R_2mgJdeeQSaxyV07,preview,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Biology,Medicine / Nursing / Health sciences,Chemistry,Statistics / Econometrics,Computer Science/ Engineer,Other",,,"Some bacteria survive and multiply, becoming resistant through natural selection",,,,,,,,,,,The antibiotic has been used so frequently that its chemical composition weakens over time,Surviving bacteria multiply after the weaker ones are killed (natural selection),,,,All Bloops are Lazzies,,,,,,,,,
2026-03-02 20:53:47,2026-03-02 20:55:11,Survey Preview,100,84,True,2026-03-02 20:55:12,R_2WVA4grqlCJdFaa,preview,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",,,,,,,,,,,,,,,,"Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",,,,,,,,,,,,,
2026-03-02 21:01:45,2026-03-02 21:05:31,Survey Preview,100,225,True,2026-03-02 21:05:31,R_28CKed1ECl3frn9,preview,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Statistics / Econometrics,Computer Science/ Engineer,Other",Promoter,10,Our body builds up a tolerance to the antibiotic over time,,,,,,,,,Promoter,10,The patient's body has adapted so the antibiotic no longer has an effect,Surviving bacteria multiply after the weaker ones are killed (natural selection),Promoter,10,5,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation)",,,3,Yes,,
2026-03-02 20:57:31,2026-03-02 21:10:35,Survey Preview,100,784,True,2026-03-02 21:10:35,R_2EzkfM1xdi9Zskx,preview,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Other,Detractor,6,"Some bacteria survive and multiply, becoming resistant through natural selection",,,,,,,,,Passive,8,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection)",Passive,7,243,All Bloops are Lazzies,,,,,,3,Yes,,
2026-03-03 14:12:21,2026-03-03 14:13:49,Survey Preview,100,87,True,2026-03-03 14:13:49,R_2rSNOuTdlUENCNL,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-03 16:01:52,2026-03-03 16:07:25,Survey Preview,100,332,True,2026-03-03 16:07:25,R_8QgENohaYPP2Y7L,preview,EN,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.","Biology,Statistics / Econometrics",Passive,7,"Some bacteria survive and multiply, becoming resistant through natural selection",1.207,1.207,4.195,1,4.254,6.842,7.401,6,Promoter,9,"The bacteria have changed in ways that allow them to survive the antibiotic, while the patient's body remains the same","Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection),Bacteria can share resistance genes with other bacteria",Detractor,4,243,All Bloops are Lazzies,The surviving insects learned from their exposure and passed that knowledge to their offspring,,"Rotate between different types of pesticides so insects are less likely to develop resistance to any single one,Use integrated pest management (e.g., combine pesticides with natural predators or crop rotation)",,3,3,Yes,1,6
2026-03-04 13:16:05,2026-03-04 13:17:15,Survey Preview,100,70,True,2026-03-04 13:17:16,R_8jvLQ3SzuFViYUl,preview,ES,,,,,,0,0,4.923,0,0,0,7.198,0,,,,,,,,,,,,,,,,0,0
2026-03-04 14:20:46,2026-03-04 14:23:57,Survey Preview,100,191,True,2026-03-04 14:23:58,R_2z88ciFjgmuslf2,preview,ZH-S,"You are at least 18 years old, and,You have read and understood this information and consent to participate in this study.",Computer Science/ Engineer,Detractor,1,Our body builds up a tolerance to the antibiotic over time,0,0,10.974,0,0,0,6.806,0,Detractor,5,The patient's body has adapted so the antibiotic no longer has an effect,"Random mutations allow some bacteria to survive the antibiotic,Surviving bacteria multiply after the weaker ones are killed (natural selection)",Detractor,3,,,,,,,3,A little,Yes,0,0
2026-03-04 14:28:48,2026-03-04 14:29:33,Survey Preview,100,45,True,2026-03-04 14:29:34,R_2LzcppR6sbmGjy4,preview,ZH-S,,,,,,0,0,5.198,0,0,0,2.279,0,,,,,,,,,,,,,,,,0,0
2026-03-04 14:33:38,2026-03-04 14:35:05,Survey Preview,100,86,True,2026-03-04 14:35:05,R_2OOArxITodebeha,preview,ZH-S,,,,,,0,0,2.411,0,0,0,6.893,0,,,,,,,,,,,,,4,,,0,0
